ENSG00000104332|SFRP1
ENSG00000185479|KRT6B
ENSG00000159167|STC1
ENSG00000196616|ADH1B
ENSG00000173801|JUP
ENSG00000108244|KRT23
ENSG00000127951|FGL2
ENSG00000124466|LYPD3
ENSG00000172053|QARS
ENSG00000173269|MMRN2
ENSG00000178776|C5orf46
ENSG00000147168|IL2RG
ENSG00000176435|CLEC14A
ENSG00000166803|PCLAF
ENSG00000113721|PDGFRB
ENSG00000177575|CD163
ENSG00000170476|MZB1
ENSG00000108091|CCDC6
ENSG00000134755|DSC2
ENSG00000173467|AGR3
ENSG00000189334|S100A14
ENSG00000169710|FASN
ENSG00000165272|AQP3
ENSG00000115998|C2orf42
ENSG00000188389|PDCD1
ENSG00000178607|ERN1
ENSG00000148773|MKI67
ENSG00000140749|IGSF6
ENSG00000134460|IL2RA
ENSG00000035115|SH3YL1
ENSG00000128052|KDR
ENSG00000196611|MMP1
ENSG00000271503|CCL5
ENSG00000111796|KLRB1
ENSG00000110031|LPXN
ENSG00000110799|VWF
ENSG00000165474|GJB2
ENSG00000100721|TCL1A
ENSG00000197321|SVIL
ENSG00000121594|CD80
ENSG00000137502|RAB30
ENSG00000105894|PTN
ENSG00000126353|CCR7
ENSG00000091879|ANGPT2
ENSG00000145247|OCIAD2
ENSG00000196683|TOMM7
ENSG00000091986|CCDC80
ENSG00000111716|LDHB
ENSG00000180914|OXTR
ENSG00000188404|SELL
ENSG00000095066|HOOK2
ENSG00000227507|LTB
ENSG00000154065|ANKRD29
ENSG00000182010|RTKN2
ENSG00000107796|ACTA2
ENSG00000017427|IGF1
ENSG00000169508|GPR183
ENSG00000161249|DMKN
ENSG00000186847|KRT14
ENSG00000184292|TACSTD2
ENSG00000117090|SLAMF1
ENSG00000184956|MUC6
ENSG00000153563|CD8A
ENSG00000171466|ZNF562
ENSG00000198821|CD247
ENSG00000184293|CLECL1
ENSG00000140105|WARS
ENSG00000151914|DST
ENSG00000124469|CEACAM8
ENSG00000145365|TIFA
ENSG00000138074|SLC5A6
ENSG00000186081|KRT5
ENSG00000158050|DUSP2
ENSG00000004799|PDK4
ENSG00000096063|SRPK1
ENSG00000065427|KARS
ENSG00000167306|MYO5B
ENSG00000196628|TCF4
ENSG00000168329|CX3CR1
ENSG00000197872|FAM49A
ENSG00000121966|CXCR4
ENSG00000129514|FOXA1
ENSG00000115165|CYTIP
ENSG00000261371|PECAM1
ENSG00000133706|LARS
ENSG00000185633|NDUFA4L2
ENSG00000262406|MMP12
ENSG00000110169|HPX
ENSG00000135077|HAVCR2
ENSG00000170458|CD14
ENSG00000143196|DPT
ENSG00000184924|PTRHD1
ENSG00000082175|PGR
ENSG00000079337|RAPGEF3
ENSG00000180644|PRF1
ENSG00000206560|ANKRD28
ENSG00000159216|RUNX1
ENSG00000100448|CTSG
ENSG00000106483|SFRP4
ENSG00000161921|CXCL16
ENSG00000121270|ABCC11
ENSG00000143546|S100A8
ENSG00000169554|ZEB2
ENSG00000131747|TOP2A
ENSG00000170542|SERPINB9
ENSG00000157150|TIMP4
ENSG00000239961|LILRA4
ENSG00000203883|SOX18
ENSG00000109424|UCP1
ENSG00000139329|LUM
ENSG00000134545|KLRC1
ENSG00000105374|NKG7
ENSG00000154978|VOPP1
ENSG00000133392|MYH11
ENSG00000110848|CD69
ENSG00000143365|RORC
ENSG00000163735|CXCL5
ENSG00000127824|TUBA4A
ENSG00000134440|NARS
ENSG00000125810|CD93
ENSG00000170421|KRT8
ENSG00000133110|POSTN
ENSG00000196154|S100A4
ENSG00000166148|AVPR1A
ENSG00000188112|C6orf132
ENSG00000162896|PIGR
ENSG00000137285|TUBB2B
ENSG00000167657|DAPK3
ENSG00000168497|CAVIN2
ENSG00000154380|ENAH
ENSG00000203747|FCGR3A
ENSG00000049768|FOXP3
ENSG00000054116|TRAPPC3
ENSG00000007312|CD79B
ENSG00000197329|PELI1
ENSG00000107562|CXCL12
ENSG00000076554|TPD52
ENSG00000065809|FAM107B
ENSG00000124145|SDC4
ENSG00000164283|ESM1
ENSG00000137203|TFAP2A
ENSG00000065534|MYLK
ENSG00000260916|CCPG1
ENSG00000172061|LRRC15
