Gene	Matched_Count	Total_Count	Mismatches
GJB2	40	40	None
C5orf46	12	14	SCGB3A2,SCGB3A2
PTPRC	114	281	CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,CHS.4095,PEBP1P3,MIR181B1,MIR181A1,MIR181A1HG
RAMP2	17	27	RAMP2-AS1,RAMP2-AS1,RAMP2-AS1,RAMP2-AS1,RAMP2-AS1,RAMP2-AS1,RAMP2-AS1,RAMP2-AS1,RAMP2-AS1,RAMP2-AS1
RAB30	111	187	SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E,SNORA70E
ADAM9	126	335	SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,SNORD38D,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,TM2D2,SNORD38D,SNORD38D,SNORD38D,SNORD38D,SNORD38D,SNORD38D,SNORD38D,SNORD38D,SNORD38D,SNORD38D,SNORD38D,SNORD38D
PDGFRA	82	217	COMMD5P1,LNX1-AS2,LOC100129728,RPL21P44,MORF4L2P1,GSX2,LOC124900899,LOC124900925,RPL22P13,FIP1L1,LNX1-AS1,LOC100506444,LOC124900702,CHIC2,LNX1,COMMD5P1,LNX1-AS2,LOC100129728,RPL21P44,MORF4L2P1,GSX2,LOC124900899,LOC124900925,RPL22P13,FIP1L1,LNX1-AS1,LOC100506444,LOC124900702,CHIC2,LNX1,COMMD5P1,LNX1-AS2,LOC100129728,RPL21P44,MORF4L2P1,GSX2,LOC124900899,LOC124900925,RPL22P13,FIP1L1,LNX1-AS1,LOC100506444,LOC124900702,CHIC2,LNX1,COMMD5P1,LNX1-AS2,LOC100129728,RPL21P44,MORF4L2P1,GSX2,LOC124900899,LOC124900925,RPL22P13,FIP1L1,LNX1-AS1,LOC100506444,LOC124900702,CHIC2,LNX1,COMMD5P1,LNX1-AS2,LOC100129728,RPL21P44,MORF4L2P1,GSX2,LOC124900899,LOC124900925,RPL22P13,FIP1L1,LNX1-AS1,LOC100506444,LOC124900702,CHIC2,LNX1,COMMD5P1,LNX1-AS2,LOC100129728,RPL21P44,MORF4L2P1,GSX2,LOC124900899,LOC124900925,RPL22P13,FIP1L1,LNX1-AS1,LOC100506444,LOC124900702,CHIC2,LNX1,COMMD5P1,LNX1-AS2,LOC100129728,RPL21P44,MORF4L2P1,GSX2,LOC124900899,LOC124900925,RPL22P13,FIP1L1,LNX1-AS1,LOC100506444,LOC124900702,CHIC2,LNX1,COMMD5P1,LNX1-AS2,LOC100129728,RPL21P44,MORF4L2P1,GSX2,LOC124900899,LOC124900925,RPL22P13,FIP1L1,LNX1-AS1,LOC100506444,LOC124900702,CHIC2,LNX1,COMMD5P1,LNX1-AS2,LOC100129728,RPL21P44,MORF4L2P1,GSX2,LOC124900899,LOC124900925,RPL22P13,FIP1L1,LNX1-AS1,LOC100506444,LOC124900702,CHIC2,LNX1
CX3CR1	85	85	None
CXCR4	100	100	None
CD247	80	138	LOC101928512,POU2F1,LOC101928512,POU2F1,LOC101928512,POU2F1,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512,LOC101928512
